geoid,2012_population,2012_hispanic,2012_non_hispanic,2012_his_perc,2012_not_hispanic_prec,2012_median_income,2012_density,2013_population,2013_hispanic,2013_non_hispanic,2013_his_perc,2013_not_hispanic_prec,2013_median_income,2013_density,2014_population,2014_hispanic,2014_non_hispanic,2014_his_perc,2014_not_hispanic_prec,2014_median_income,2014_density,2015_population,2015_hispanic,2015_non_hispanic,2015_his_perc,2015_not_hispanic_prec,2015_median_income,2015_density,2016_population,2016_hispanic,2016_non_hispanic,2016_his_perc,2016_not_hispanic_prec,2016_median_income,2016_density,2017_population,2017_hispanic,2017_non_hispanic,2017_his_perc,2017_not_hispanic_prec,2017_median_income,2017_density,2018_population,2018_hispanic,2018_non_hispanic,2018_his_perc,2018_not_hispanic_prec,2018_median_income,2018_density,2019_population,2019_hispanic,2019_non_hispanic,2019_his_perc,2019_not_hispanic_prec,2019_median_income,2019_density,2020_population,2020_hispanic,2020_non_hispanic,2020_his_perc,2020_not_hispanic_prec,2020_median_income,2020_density,2021_population,2021_hispanic,2021_non_hispanic,2021_his_perc,2021_not_hispanic_prec,2021_median_income,2021_density,2022_population,2022_hispanic,2022_non_hispanic,2022_his_perc,2022_not_hispanic_prec,2022_median_income,2022_density
480291820031,3220.0,1754,1455,0.5466,0.4534,140054.0,541.81189,3225.0,1905,1304,0.5936,0.4064,138897.0,542.65322,3256.0,1988,1221,0.6196,0.3804,138992.0,547.86942,3240.0,2001,1208,0.6236,0.3764,138613.0,545.17718,3295.0,1786,1423,0.5566,0.4434,139691.0,554.43174,3307.0,1764,1445,0.5496,0.4504,139220.0,556.45091,3244.0,1754,1455,0.5466,0.4534,139469.0,545.85024,3278.0,1943,1266,0.6056,0.3944,139056.0,551.57124,3232.0,2004,1205,0.6246,0.3754,139115.0,543.83107,3299.0,1963,1246,0.6116,0.3884,140013.0,555.10479,3209.0,1709.0,1500.0,0.5326,0.4674,139375.0,539.96098
480291216063,959.0,557,359,0.6084,0.3916,69833.0,1634.65816,952.0,560,356,0.6114,0.3886,71294.0,1622.72635,1002.0,576,340,0.6284,0.3716,70852.0,1707.95358,945.0,551,365,0.6014,0.3986,71286.0,1610.79454,982.0,586,330,0.6394,0.3606,69881.0,1673.86269,970.0,576,340,0.6284,0.3716,70285.0,1653.40815,1009.0,552,364,0.6024,0.3976,71056.0,1719.88539,949.0,627,289,0.6844,0.3156,71107.0,1617.61272,928.0,606,310,0.6614,0.3386,70096.0,1581.81728,981.0,572,344,0.6244,0.3756,71448.0,1672.15814,916.0,539.0,377.0,0.5884,0.4116,70625.0,1561.36275
480291216042,2536.0,1221,1251,0.4939,0.5061,122751.0,1671.5464,2484.0,1241,1231,0.5019,0.4981,122499.0,1637.27179,2548.0,1090,1382,0.4409,0.5591,122908.0,1679.45593,2511.0,1023,1449,0.4139,0.5861,122054.0,1655.06823,2531.0,1149,1323,0.4649,0.5351,122909.0,1668.25077,2543.0,1184,1288,0.4789,0.5211,123742.0,1676.16029,2569.0,1238,1234,0.5009,0.4991,123394.0,1693.2976,2501.0,1162,1310,0.4699,0.5301,123091.0,1648.47695,2512.0,1159,1313,0.4689,0.5311,122385.0,1655.72735,2525.0,1238,1234,0.5009,0.4991,122618.0,1664.29601,2472.0,996.0,1476.0,0.4029,0.5971,123046.0,1629.36227
480291216043,399.0,161,179,0.4745,0.5255,39828.0,994.83385,420.0,146,194,0.4305,0.5695,40451.0,1047.19352,351.0,139,201,0.4085,0.5915,41342.0,875.15459,413.0,142,198,0.4165,0.5835,41167.0,1029.7403,350.0,158,182,0.4635,0.5365,39883.0,872.66127,353.0,158,182,0.4655,0.5345,40383.0,880.14122,374.0,155,185,0.4555,0.5445,40408.0,932.5009,397.0,142,198,0.4165,0.5835,39978.0,989.84721,365.0,154,186,0.4515,0.5485,39974.0,910.06104,362.0,149,191,0.4375,0.5625,40556.0,902.58108,340.0,128.0,212.0,0.3765,0.6235,40475.0,847.72809
480291216044,2415.0,1353,1051,0.5627,0.4373,76518.0,2216.32223,2479.0,1377,1027,0.5727,0.4273,78385.0,2275.05706,2495.0,1319,1085,0.5487,0.4513,77499.0,2289.74077,2435.0,1324,1080,0.5507,0.4493,76745.0,2234.67686,2465.0,1377,1027,0.5727,0.4273,76541.0,2262.20882,2500.0,1425,979,0.5927,0.4073,77883.0,2294.32943,2445.0,1459,945,0.6067,0.3933,77325.0,2243.85418,2499.0,1451,953,0.6037,0.3963,77523.0,2293.4117,2414.0,1475,929,0.6137,0.3863,78159.0,2215.40449,2501.0,1336,1068,0.5557,0.4443,76646.0,2295.24716,2404.0,1259.0,1145.0,0.5237,0.4763,77440.0,2206.22718
480291505022,1016.0,103,902,0.1028,0.8972,58782.0,2630.11429,1083.0,102,903,0.1018,0.8982,57827.0,2803.55687,1070.0,103,902,0.1028,0.8972,58949.0,2769.90383,1021.0,106,899,0.1058,0.8942,57318.0,2643.05777,1020.0,80,925,0.0798,0.9202,59062.0,2640.46907,1022.0,89,916,0.0888,0.9112,57458.0,2645.64646,1021.0,78,927,0.0778,0.9222,59098.0,2643.05777,1104.0,78,927,0.0778,0.9222,57225.0,2857.91947,1055.0,68,937,0.0678,0.9322,58906.0,2731.0734,1049.0,45,960,0.0448,0.9552,58427.0,2715.54123,1005.0,33.0,972.0,0.0328,0.9672,58144.0,2601.63864
480291506001,770.0,66,649,0.0919,0.9081,38219.0,1920.54913,739.0,73,642,0.1019,0.8981,37713.0,1843.22832,800.0,71,644,0.0989,0.9011,38021.0,1995.37572,744.0,109,606,0.1529,0.8471,36785.0,1855.69942,790.0,93,622,0.1299,0.8701,36815.0,1970.43352,726.0,86,629,0.1209,0.8791,37944.0,1810.80346,729.0,50,665,0.0699,0.9301,37793.0,1818.28612,760.0,77,638,0.1079,0.8921,36817.0,1895.60693,740.0,88,627,0.1229,0.8771,36994.0,1845.72254,742.0,64,651,0.0889,0.9111,38196.0,1850.71098,715.0,40.0,675.0,0.0559,0.9441,37259.0,1783.36705
480291506003,927.0,158,681,0.1882,0.8118,72085.0,2067.80251,902.0,103,736,0.1222,0.8778,71037.0,2012.03653,900.0,91,748,0.1082,0.8918,71394.0,2007.57525,924.0,88,751,0.1052,0.8948,71035.0,2061.11059,932.0,115,724,0.1372,0.8628,70987.0,2078.9557,885.0,102,737,0.1212,0.8788,71508.0,1974.11566,888.0,146,693,0.1742,0.8258,71442.0,1980.80758,880.0,140,699,0.1672,0.8328,71564.0,1962.96247,891.0,150,689,0.1792,0.8208,71967.0,1987.4995,909.0,97,742,0.1152,0.8848,70499.0,2027.651,839.0,79.0,760.0,0.0942,0.9058,71212.0,1871.50626
480291507001,777.0,9,722,0.012,0.988,0,1810.7836,786.0,35,696,0.048,0.952,0,1831.75793,817.0,13,718,0.018,0.982,0,1904.00283,775.0,21,710,0.029,0.971,0,1806.12264,791.0,37,694,0.05,0.95,0,1843.41033,773.0,64,667,0.088,0.912,0,1801.46168,765.0,47,684,0.064,0.936,0,1782.81783,749.0,26,705,0.035,0.965,0,1745.53014,830.0,29,702,0.04,0.96,0,1934.29908,794.0,37,694,0.05,0.95,0,1850.40177,731.0,0.0,731.0,0.0,1.0,0.0,1703.58148
480291507002,1650.0,35,1601,0.0213,0.9787,42647.0,4648.35871,1679.0,43,1593,0.0263,0.9737,44364.0,4730.05713,1688.0,45,1591,0.0273,0.9727,42642.0,4755.41182,1661.0,48,1588,0.0293,0.9707,44029.0,4679.34776,1687.0,41,1595,0.0253,0.9747,43318.0,4752.59463,1682.0,164,1472,0.1003,0.8997,43642.0,4738.50869,1716.0,105,1531,0.0643,0.9357,44416.0,4834.29306,1673.0,172,1464,0.1053,0.8947,42659.0,4713.15401,1686.0,117,1519,0.0713,0.9287,42509.0,4749.77744,1678.0,154,1482,0.0943,0.9057,43863.0,4727.23995,1636.0,12.0,1624.0,0.0073,0.9927,43472.0,4608.91809
